Timestamp,Is holiday,Real temperature,Feels like temperature,Humidity,Speed of wind,PM25 pollution,Atmospheric CO2,Weather type,No. of shared scooter rides
2015-01-04 0:00:00,0,3.0°C,2.0°C,93.00%,6.0 km/h,9.38 μg/m3,405.82ppm,Broken clouds,182
2015-01-04 1:00:00,0,3.0°C,2.5°C,93.00%,5.0 km/h,6.37 μg/m3,403.72ppm,Clear,138
2015-01-04 2:00:00,0,2.5°C,,96.50%,,8.05 μg/m3,406.99ppm,Clear,134
2015-01-04 3:00:00,0,2.0°C,2.0°C,100.00%,0.0 km/h,7.27 μg/m3,404.89ppm,Clear,72
2015-01-04 4:00:00,0,,0.0°C,93.00%,6.5 km/h,5.67 μg/m3,405.25ppm,Clear,47
2015-01-04 5:00:00,0,2.0°C,2.0°C,93.00%,,7.59 μg/m3,406.86ppm,Clear,46
2015-01-04 6:00:00,0,1.0°C,-1.0°C,100.00%,7.0 km/h,6.86 μg/m3,405.92ppm,Cloudy,51
2015-01-04 7:00:00,0,1.0°C,,100.00%,7.0 km/h,7.57 μg/m3,404.65ppm,Cloudy,75
2015-01-04 8:00:00,0,1.5°C,-1.0°C,96.50%,8.0 km/h,8.32 μg/m3,402.22ppm,Cloudy,131
2015-01-04 9:00:00,0,2.0°C,-0.5°C,100.00%,9.0 km/h,4.94 μg/m3,404.78ppm,Broken clouds,301
2015-01-04 10:00:00,0,3.0°C,-0.5°C,93.00%,12.0 km/h,9.75 μg/m3,404.28ppm,Broken clouds,528
2015-01-04 11:00:00,0,2.0°C,-1.5°C,100.00%,12.0 km/h,12.71 μg/m3,405.03ppm,Broken clouds,727
2015-01-04 12:00:00,0,2.0°C,-1.5°C,96.50%,13.0 km/h,6.79 μg/m3,404.58ppm,Cloudy,862
2015-01-04 13:00:00,0,3.0°C,-0.5°C,87.00%,15.0 km/h,7.32 μg/m3,407.5ppm,Broken clouds,916
2015-01-04 14:00:00,0,2.5°C,0.0°C,90.00%,8.0 km/h,6.97 μg/m3,406.07ppm,Broken clouds,1039
2015-01-04 15:00:00,0,2.0°C,-1.5°C,,11.0 km/h,6.58 μg/m3,404.3ppm,Broken clouds,869
2015-01-04 16:00:00,0,3.0°C,0.0°C,93.00%,12.0 km/h,11.19 μg/m3,406.38ppm,Broken clouds,737
2015-01-04 17:00:00,0,,0.0°C,93.00%,11.0 km/h,7.74 μg/m3,407.88ppm,Broken clouds,594
2015-01-04 18:00:00,0,3.0°C,1.5°C,,6.5 km/h,9.25 μg/m3,403.72ppm,Broken clouds,522
2015-01-04 19:00:00,0,3.0°C,,93.00%,7.0 km/h,9.97 μg/m3,404.54ppm,Broken clouds,379
2015-01-04 20:00:00,0,3.0°C,3.0°C,93.00%,4.0 km/h,9.77 μg/m3,403.64ppm,Broken clouds,328
2015-01-04 21:00:00,0,3.0°C,2.5°C,93.00%,5.0 km/h,9.88 μg/m3,405.73ppm,Cloudy,221
2015-01-04 22:00:00,0,3.0°C,2.0°C,,6.0 km/h,6.23 μg/m3,409.17ppm,Cloudy,178
2015-01-04 23:00:00,0,4.0°C,,87.00%,5.0 km/h,9.57 μg/m3,407.36ppm,Cloudy,157
2015-01-05 0:00:00,0,4.0°C,3.0°C,93.00%,6.0 km/h,7.62 μg/m3,404.36ppm,Cloudy,83
